timestamp,page_url,ttfb_ms,load_time_ms,requests_count,core_web_vitals_status,detected_assets
2026-04-02T07:16:56.816194+00:00,/featured,220,3315,45,poor,https://hashnode.com/_next/static/chunks/6caf7277614b8f01.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/6a7b32c87d517953.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-04-03T07:13:28.821884+00:00,/,194,3359,22,poor,https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/6caf7277614b8f01.css|https://hashnode.com/_next/static/chunks/89bcb98f518389a3.js|https://hashnode.com/_next/static/chunks/6bc3ad96ab7c3461.css|https://hashnode.com/_next/static/chunks/d598f1f652e2d146.js
2026-04-03T07:13:32.260394+00:00,/explore,143,3379,45,poor,https://hashnode.com/_next/static/chunks/6caf7277614b8f01.css|https://hashnode.com/_next/static/chunks/ade94519337d7214.js|https://hashnode.com/_next/static/chunks/6bc3ad96ab7c3461.css|https://hashnode.com/_next/static/chunks/5d420d97975eccac.js|https://hashnode.com/_next/static/chunks/26c25b9b1c380a75.js
2026-04-03T07:13:35.454014+00:00,/featured,150,3134,45,poor,https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/6bc3ad96ab7c3461.css|https://hashnode.com/_next/static/chunks/6caf7277614b8f01.css|https://hashnode.com/_next/static/chunks/ade94519337d7214.js|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js
2026-04-04T07:04:39.589023+00:00,/,114,3200,22,poor,https://hashnode.com/_next/static/chunks/6caf7277614b8f01.css|https://hashnode.com/_next/static/chunks/2fff67febe7f7807.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-04-04T07:04:46.642927+00:00,/explore,181,6986,45,poor,https://hashnode.com/_next/static/chunks/6caf7277614b8f01.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/2fff67febe7f7807.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-04-04T07:04:49.866628+00:00,/featured,149,3163,45,poor,https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/6caf7277614b8f01.css|https://hashnode.com/_next/static/chunks/2fff67febe7f7807.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-04-05T07:11:19.287476+00:00,/,15075,22560,21,poor,https://hashnode.com/_next/static/chunks/6caf7277614b8f01.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/2fff67febe7f7807.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-04-05T07:11:22.999969+00:00,/explore,931,3655,45,poor,https://hashnode.com/_next/static/chunks/6caf7277614b8f01.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/2fff67febe7f7807.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-04-05T07:11:49.324372+00:00,/featured,20489,26271,45,poor,https://hashnode.com/_next/static/chunks/6caf7277614b8f01.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/2fff67febe7f7807.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-04-06T07:47:30.108469+00:00,/,149,3961,24,poor,https://hashnode.com/_next/static/chunks/d26df96ef9a85721.js|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/d598f1f652e2d146.js|https://hashnode.com/_next/static/chunks/7eefeea34d48fc97.css|https://hashnode.com/_next/static/chunks/2046bca9a9daa3cb.js
2026-04-06T07:47:33.903834+00:00,/explore,119,3732,45,poor,https://hashnode.com/_next/static/chunks/6caf7277614b8f01.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/7eefeea34d48fc97.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-04-06T07:47:39.289716+00:00,/featured,318,5313,45,poor,https://hashnode.com/_next/static/chunks/6caf7277614b8f01.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/7eefeea34d48fc97.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-04-07T07:22:02.668151+00:00,/,40,3115,24,poor,https://hashnode.com/_next/static/chunks/7eefeea34d48fc97.css|https://hashnode.com/_next/static/chunks/6caf7277614b8f01.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-04-07T07:22:06.266392+00:00,/explore,302,3539,45,poor,https://hashnode.com/_next/static/chunks/6caf7277614b8f01.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/7eefeea34d48fc97.css|https://hashnode.com/_next/static/chunks/5d420d97975eccac.js|https://hashnode.com/_next/static/chunks/d598f1f652e2d146.js
2026-04-07T07:22:09.566850+00:00,/featured,228,3248,42,poor,https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/6caf7277614b8f01.css|https://hashnode.com/_next/static/chunks/7eefeea34d48fc97.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-04-08T07:24:24.122563+00:00,/,65,3157,24,poor,https://hashnode.com/_next/static/chunks/7eefeea34d48fc97.css|https://hashnode.com/_next/static/chunks/6caf7277614b8f01.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-04-08T07:24:27.407731+00:00,/explore,122,3228,45,poor,https://hashnode.com/_next/static/chunks/6caf7277614b8f01.css|https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/7eefeea34d48fc97.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
2026-04-08T07:24:30.687823+00:00,/featured,12,3225,45,poor,https://hashnode.com/_next/static/chunks/39c65b9ff246101f.css|https://hashnode.com/_next/static/chunks/7eefeea34d48fc97.css|https://hashnode.com/_next/static/chunks/6caf7277614b8f01.css|https://hashnode.com/_next/static/chunks/faf4a0202735b81c.js|https://hashnode.com/_next/static/chunks/ade94519337d7214.js
